region,headquarters,date_sampled,month_year,city_town,industries_sampled,report_by,primary_target_compounds,emergency_response,start1,end1,start2,end2
12,Houston,2/27-3/6/09,2009-03-01,,"Kinder Morgan Galena Park Terminal, Texmark Chemicals, Inc., Gulf Coast Waste Disposal Authority, Houston Refining LP, Motiva Enterprises LLC, U.S. Oil Recovery LLC, ConocoPhillips Pipeline Co., Kinder Morgan Pasadena Terminal, Marathon Ashland Pasadena Terminal, Pasadena Refining Co., Shell Oil Co., Lubrizol Corp., INEOS Olefins & Polymers USA, Intercontinental Terminals Co., Metton America, Inc., OxyVinyls LP Battleground, OxyVinyls LP Deer Park PVC, OxyVinyls LP Deer Park VCM, Rohm and Haas Texas, Inc., Texas Molecular, Inc., Total Petrochemicals USA, Inc., Vopak Logistics Services USA, Inc., Linde Gas, Inc., Millennium Petrochemicals , Inc., Reichhold, Inc., Ballard Exploration Co., Inc., Houston Fuel Oil Terminal Co., Technip, Chevron Phillips Chemical Co. LP, ConocoPhillips Co., Sweeny Cogeneration LP, Dow Chemical Plant B, Gulf Chemical & Metallurgical Corp., SI Group, Inc. (formerly Schednectady), Decker Oaks Wastewater Treatment Plant",Teri Whiteley,"H2S, Metals, OGIC, PAH, PM10, SO2, TSP, VOC",,2009-02-27,2009-03-06,,
11,Austin,4/8/2009,2009-04-01,Austin,Pure Castings Company,Tom Randolph,PAH,,2009-04-08,2009-04-08,,
4,Arlington,5/20-23/09,2009-05-01,Lewisville,Waste Management DFW Landfill and Camelot Landfill,Tim Doty,"Canister, OGIC",,2009-05-20,2009-05-23,,
12,Houston,4/20-5/3/09,2009-05-01,Harris County Galveston County,Various facilities - IR Camera imaging in support of SHARP Project - no report published,Manuel Gonzalez,OGIC,,2009-04-20,2009-05-03,,
9,Waco,6/16-18/09,2009-06-01,Mexia,"Thang Huynh, Anh Tran, Kevin Vu - Poultry Operations",Tom Randolph,"H2S, PM2.5, PM10, TSP, VOC",,2009-06-16,2009-06-18,,
9,Waco,6/24-29/09,2009-06-01,Franklin,"ETC Texas Pipeline Ltd; Burlington Resources Oil & Gas LP - T-Bar-X/Carleton Well, T-Bar-X/Reagan Gas Unit Well #2, T-Bar-X/Reagan Gas Unit Well #3, Satellite Well #1, ConocoPhillips",Tom Randolph,"H2S, OGIC, SO2, VOC",,2009-06-24,2009-06-29,,
2,Lubbock,8/11-25/09,2009-08-01,Lubbock,I-27 Recycling Center & Public Scales (fire response - no report published),Teri Whiteley,"OGIC, PAH, PM2.5, PM10, TSP, VOC",yes,2009-08-11,2009-08-25,,
4,Arlington,8/24-28/09,2009-08-01,Barnett Shale I,"Arrowhead Production LP Stroud Lease, Atmos Energy Corp. Ponder Compressor Station, Bosque Disposal Systems (North Interstate Highway 35), Bosque Disposal Systems, LLC (Highway 171), Burlington Resources Oil & Gas Co. LP Wise County Poor Farm Gas Unit #1-B, Chesapeake Energy Brentwood Wellhead Compressor, Chesapeake Energy Compressor Station/Tank Batteries East Fort Worth, Chesapeake Energy Doug A 1H and 2H, Renzo 1H, Chesapeake Energy Little Hoss Compressor Station, Chesapeake Energy Little Hoss Lease, Chesapeake Energy Ponder Compressor Station, Chesapeake Energy/Texas Midstream Compressor Station, Chesapeake Operating, Inc. Shady Oaks Nos. 1-H, 2-H, 3-H, Crosstex Energy Services Dish Compressor Station, Crosstex Energy Services Justin Plant, Crosstex Energy/Treating Services Blue Mound Compressor Station, Crosstex Energy White Settlement Compressor Station, Crosstex North Texas Gathering LP, Crosstex North Texas Gathering LP Kemp Compressor Station, Crosstex Silver Creek Gas Plant, Devon Alliston G.U. #1, Devon Energy Co. C.W. Slay and William Bennett Leases,",Teri Whiteley/Tim Doty,"Canister, OGIC",,2009-08-24,2009-08-28,,
10,Beaumont,9/28-10/1/09,2009-09-01,Port Arthur,"CES Environmental Services, Inc.",Tim Doty,"OGIC, VOC",,2009-09-28,2009-10-01,,
13,San Antonio,9/45-46/09,2009-09-01,San Antonio,"New Earth, Inc.",Tom Randolph,VOC,,2009-09-15,2009-09-16,,
4,Arlington,10/9-16/09,2009-10-01,Barnett Shale II,,Teri Whiteley/Tim Doty,"NOx, OGIC, VOC",,2009-10-09,2009-10-16,,
12,Houston,9/28-10/1/09,2009-10-01,Houston,"CES Environmental Services, Inc.",Tim Doty,"OGIC, VOC",,2009-09-28,2009-10-01,,
4,Arlington,11/16-20/09,2009-11-01,Barnett Shale III,,Teri Whiteley/Tim Doty,"OGIC, RTS, VOC",,2009-11-16,2009-11-20,,
4,Arlington,12/15-17/09,2009-12-01,City of Fort Worth Survey,"Devon Energy Production, Chesapeake Energy Glen Garden 61H; Chesapeake Energy S & B 1-H, S & B South 1-H Lease; Crosstex Energy/Treating Services Blue Mound Compressor Station; Quicksilver Resources, Lake Arlington Compressor Station; XTO Energy - Green Highlander 1H and 2H; Range Production Company, Albertson Unit 2H-5H",Teri Whiteley,"Canister, OGIC",,2009-12-15,2009-12-17,,
11,Austin,1/20/2010,2010-01-01,Austin,Gasoline VOC Study,Tom Randolph,"OGIC, VOC",,2010-01-20,2010-01-20,,
4,Arlington,3/1-5/10,2010-03-01,Barnett Shale Follow-Up,"Crosstex Energy Justin Plant, Crosstex Energy White Settlement Compressor, Crosstex Energy Kemp Compressor, Devon Energy Justin Compressor, Enbridge Gathering Springtown Plant, ETC Godley Gas Plant, J-W Gathering, Quicksilver Resources, Stallion Oilfield Services Salty’s Disposal Wells, Arrowhead Production, Quicksilver Resources, Atmos Energy Metering Station, Chesapeake Energy Ponder Compressor, Enbridge Gathering Justin East Compressor, Atmos Energy Ponder and Energy Transfer Hog Branch Compressors, Crosstex Energy Dish Compressor",Tom Randolph,"Canister, OGIC",,2010-03-01,2010-03-05,,
9,Waco,"3/22/10, 3/24/10",2010-03-01,Mexia,"Kevin Vu, Anh Tran",Jeff Kunze,Ammonia,,2010-03-22,2010-03-24,,
4,Arlington,4/19-23/10,2010-04-01,City of Fort Worth Follow-Up Survey,"Chesapeake Energy Harbison Fisher Compressor, Chesapeake Energy Glen Garden, Chesapeake Energy/Texas Midstream Gas Services S&B Compressor, XTO Energy Euless Units, XTO Energy L&S Lane, XTO Energy Slaughter Heights, Encana Oil & Gas Chapel Creek, Encana Oil & Gas DAB Well 5H and Compressor, Quicksilver Resources, CD Consulting & Operating Company, Barnett Gathering Saginaw Compressor, Crosstex Energy/Treating Services Blue Mound Compressor, Radius Operating Company, Devon Energy Hyde-Hickman",Tom Randolph,"Canister, OGIC",,2010-04-19,2010-04-23,,
4,Arlington,6/15-18/10,2010-06-01,Dish,"Crosstex Energy Dish Compressor; Chesapeake Energy Ponder Compressor; Atmos Energy Ponder and Energy Transfer Hog Branch Compressors; Enbridge Gathering Justin East; Devon Energy DCCO 3, S.H. Griffin 3, 17H, 18H; Devon Energy DCCO 3, S.H. Griffin 20H, 21H, 23H",Tom Randolph,"Carbonyls, OGIC",,2010-06-15,2010-06-18,,
4,Arlington,7/6-20/10,2010-07-01,CEO Tank Battery Project,"Devon Energy Production Company LP Day Lease Central Battery , Devon Energy Operating Company LP R.M. Alliston G.U. #1 , Pioneer Energy First Baptist Church , Chesapeake Energy Little Hoss Lease, ConocoPhillips Company (formerly Burlington Resources Oil & Gas Company) Gage Pitts Lease , ConocoPhillips Company (formerly Burlington Resources Oil & Gas Company) Crystelle Waggoner Lease , ConocoPhillips Company (formerly Burlington Resources Oil & Gas Company) Wise County Poor Farm Gas Unit #1-B (Map 8) and Hughston Unit #2, #6, #5",Tim Doty,"Canister, OGIC",,2010-07-06,2010-07-20,,
11,Austin,8/25-26/10,2010-08-01,Bastrop,Griffin Industries,Stephanie Ma,"H2S, OGIC",,2010-08-25,2010-08-26,,
9,Waco,9/24-28/10,2010-09-01,Mexia,"Thang Huynh, Anh Tran, Kevin Vu - Poultry Operations",Vaji Mohtashami,"Ammonia, VOC",,2010-09-24,2010-09-28,,
11,Austin,9/16-17/10,2010-09-01,Austin,Tailpipe Exhaust Study,Tom Randolph,"Carbonyls, OGIC",,2010-09-16,2010-09-17,,
12,Houston,10/24-27/10,2010-10-01,Freeport,Gulf Chemical & Metallurgical,Trina Muenzer,"NH3, PM10, SO2, TSP",,2010-10-24,2010-10-27,,
4,Arlington,11/6-10/10,2010-11-01,"Dish, Arlington Areas","Atmos Energy Ponder; Energy Transfer Hog Branch; Chesapeake Energy Ponder; Enbridge Gathering Justin East; Devon Energy DCCO 3, S.H. Griffin 3, 17H, 18H; Devon Energy DCCO 3, Mae C Naler 21H, 22H, 23H; Devon Energy DCCO 3, S.H. Griffin 11, 26H, 27H; Devon Energy DCCO 3, S.H. Griffin 20H, 21H, 23H; Atmos Gas Metering; Quicksilver Resources, Lake Arlington Compressor Station; Quicksilver Resources Exelon North Wellheads 1H, 2H, 3H, 4H, 13H, 15H, 17H, 19H, 21H",Tom Randolph,"Carbonyls, OGIC",,2010-11-06,2010-11-10,,
11,Austin,12/8-10/10,2010-12-01,Luling,"North South Oil Co. Carter Unit, Gauge Oil Co. J.P. Watson Production Well No. 3, Gauge Oil Co. J.P. Watson Production Well; OGO Refining Frank Davis Lease Well No. 1, North South Oil Co. Carter Unit Well No. 4, Occidental Energy Co. Cora Malone Lease Well No. 16, Darst Creek Oil Co., R.M. Turner B Lease, Eighty-Six Oil Co., Davis A. Coleman Lease Well No. 1, Finaly Resources LLC Gus Hardy F Lease",Teri Whiteley,"H2S, OGIC, VOC",,2010-12-08,2010-12-10,,
15,Harlingen,10/8-11/13,2013-10-01,Brownsville,"Jim Wilkinson Iron and Metal, Milwhite Inc.",Tom Randolph,"Metals, PM2.5, PM10, TSP, VOC",,2013-10-08,2013-10-11,,
13,San Antonio,1/14-16/14,2014-01-01,Karnes County,EnAqua Solutions Salt Water Disposal Well-Kenedy SWD#1,Clayton Holbrook,"H2S, VOC",,2014-01-14,2014-01-16,,
4,Arlington,6/24-28/14,2014-06-01,Justin and Aledo,Cowtown Pipeline Partners LP Alliance Compressor Station and Nabors Well Service FW Salt Water Disposal #1,Manuel Gonzalez,"OGIC, VOC",,2014-06-24,2014-06-28,,
