STAFF_REGION,RN_REGION,LEAD_INVESTIGATOR,RN,INVEST_NUM,STATUS_DT,START_DT,END_DT,EQUIP_CATGRY,EQUIP_CAT_DESC,CHECKLIST_NAME,CL_CHK_ITM_COMMENT
REGION 10,R10BEAU,RDONINA,RN104964267,1603513, 10/17/2019, 10/16/2019, 10/16/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,NFOSTER,RN104043104,1596841, 10/17/2019, 09/11/2019, 09/11/2019,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 13,R13SANT,WLINDER,RN100209626,1590622, 10/16/2019, 08/16/2019, 08/27/2019,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 10,R10BEAU,AGLOVER,RN100214626,1598995, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN100214683,1598966, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN100216373,1598977, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN100218932,1598983, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN100542844,1598974, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN101609436,1598981, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN102163128,1598960, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN102450756,1598971, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN102559291,1598990, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN102736089,1598994, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN102757440,1598948, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN106586795,1598985, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN107657728,1598957, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,AGLOVER,RN109031641,1598992, 10/14/2019, 10/01/2019, 10/01/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 15,R15HARL,DAGUERRA,RN107742637,1580062, 10/14/2019, 05/02/2019, 05/16/2019,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 05,R05TYLR,LLOVE,RN101627776,1577705, 10/07/2019, 05/01/2019, 05/01/2019,OGIC,OGIC#FLIR Systems Thermocam GasFindIRTM HSX Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,PCHEN,RN106218209,1590452, 10/02/2019, 08/16/2019, 08/16/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
CO,R12HOUS,GMAYWORN,RN102926920,1578055, 09/27/2019, 08/20/2019, 08/22/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,DABROUSS,RN100210301,1532044, 09/27/2019, 02/05/2019, 02/06/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R13SANT,JSEILER,RN110829538,1582846, 09/26/2019, 07/26/2019, 08/02/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,JMALIK,RN107834715,1592477, 09/26/2019, 08/16/2019, 08/16/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 11,R11AUST,RCIAMPI,RN100225754,1597658, 09/24/2019, 09/19/2019, 09/19/2019,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 01,R01AMA,OCANO,RN101940567,1581220, 09/19/2019, 07/22/2019, 07/22/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 13,R13SANT,BWILLE,RN106397284,1581593, 09/12/2019, 07/07/2019, 07/16/2019,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,CYSMITH,RN106116882,1579108, 09/11/2019, 07/16/2019, 07/17/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 10,R10BEAU,NRICHARD,RN110645421,1592005, 09/09/2019, 08/26/2019, 08/26/2019,OGIC,OGIC#OPTICAL GAS IMAGING CAMERAS (OGIC)/INFRARED CAMERAS (GASFINDIRTM),AIR EQUIPMENT,
CO,R13SANT,LRUFF,RN107119216,1575142, 09/06/2019, 04/26/2019, 05/10/2019,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
CO,R12HOUS,KAJONES,RN102540812,1579303, 08/30/2019, 07/29/2019, 07/29/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,DABROUSS,RN102610102,1589589, 08/30/2019, 06/24/2019, 06/25/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,GBILLEAU,RN102323268,1533159, 08/30/2019, 06/11/2019, 06/12/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,GBILLEAU,RN106018260,1551945, 08/30/2019, 07/30/2019, 08/07/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,YMARTINE,RN108772245,1533163, 08/30/2019, 07/29/2019, 07/30/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 14,R14CORP,JOPEARCE,RN102663671,1557529, 08/30/2019, 08/07/2019, 08/07/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 14,R14CORP,KHALEPES,RN103914974,1580491, 08/30/2019, 07/18/2019, 08/22/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 14,R14CORP,SHOELSCH,RN108024985,1582180, 08/30/2019, 08/06/2019, 08/06/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,"The OGIC was utilized during the field portion of the SFCI on August 6, 2019."
REGION 14,R14CORP,TRIEGER,RN101625721,1580562, 08/30/2019, 08/13/2019, 08/13/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R04DFW,HBRISTER,RN102563152,1580529, 08/29/2019, 06/06/2019, 06/20/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 11,R11AUST,EGANDEE,RN104051792,1591586, 08/29/2019, 06/26/2019, 07/26/2019,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 11,R11AUST,EGANDEE,RN104051792,1591586, 08/29/2019, 06/26/2019, 07/26/2019,OGIC,OGIC#OPTICAL GAS IMAGING CAMERAS (OGIC)/INFRARED CAMERAS (GASFINDIRTM),AIR EQUIPMENT,
REGION 12,R12HOUS,WJORN,RN100209931,1544701, 08/29/2019, 07/30/2019, 07/30/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,YBLAIR,RN100218049,1570557, 08/29/2019, 05/22/2019, 05/23/2019,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,CYSMITH,RN102181526,1578847, 08/29/2019, 07/30/2019, 07/30/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,This equipment was utilized.
REGION 14,R14CORP,SHOELSCH,RN104104716,1581779, 08/29/2019, 08/01/2019, 08/01/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,"The OGIC was utilized during the field portion of the SFCI on August 1, 2019."
REGION 04,R04DFW,JMALIK,RN105210827,1591525, 08/28/2019, 08/16/2019, 08/16/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 09,R12HOUS,AVELASQU,RN100209931,1540599, 08/28/2019, 03/13/2019, 03/13/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R12HOUS,PBLANTON,RN102323268,1580360, 08/28/2019, 07/15/2019, 07/19/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 12,R12HOUS,LKINCAID,RN100211879,1590506, 08/28/2019, 07/01/2019, 08/23/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 16,R16LARE,JOSALINA,RN106100381,1591346, 08/28/2019, 08/15/2019, 08/15/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,OGIC
REGION 16,R16LARE,JOSALINA,RN106100415,1591348, 08/28/2019, 08/15/2019, 08/15/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,OGIC
CO,R12HOUS,GMAYWORN,RN100542281,1569411, 08/27/2019, 06/10/2019, 06/12/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 10,R10BEAU,PBLANTON,RN100214626,1591130, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN100214683,1590987, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN100216373,1591101, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN100218932,1591104, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN100542844,1591098, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN101609436,1591103, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN102163128,1590979, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN102450756,1590990, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN102559291,1591106, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN102736089,1591108, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN102757440,1590973, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN106586795,1591127, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN107657728,1590975, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 10,R10BEAU,PBLANTON,RN109031641,1591111, 08/27/2019, 08/21/2019, 08/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 04,R04DFW,ACHATTIN,RN100215995,1588702, 08/26/2019, 07/12/2019, 07/12/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,CHENNICK,RN100209949,1551806, 08/26/2019, 07/15/2019, 08/26/2019,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,TLESTARJ,RN104262704,1551795, 08/26/2019, 06/18/2019, 06/19/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 16,R16LARE,SHSERNA,RN100210079,1582491, 08/25/2019, 07/10/2019, 07/10/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R14CORP,AFUQUA,RN101625721,1582906, 08/23/2019, 08/13/2019, 08/13/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,The TCEQ R14 OGIC was utilized during the on-site investigation on 08/13/2019.
REGION 13,R13SANT,MBERTETT,RN107119216,1579877, 08/23/2019, 06/06/2019, 06/06/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,GF320
REGION 01,R01AMA,OCANO,RN109833889,1575204, 08/22/2019, 06/24/2019, 06/24/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 01,R01AMA,OCANO,RN109833905,1575222, 08/22/2019, 06/24/2019, 06/24/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 01,R01AMA,OCANO,RN110396611,1575221, 08/22/2019, 06/24/2019, 06/24/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 04,R04DFW,PCHEN,RN100215185,1576769, 08/22/2019, 06/28/2019, 06/28/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
CO,R13SANT,LRUFF,RN106347156,1577178, 08/21/2019, 06/05/2019, 06/26/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R13SANT,LRUFF,RN110409430,1577084, 08/21/2019, 06/05/2019, 06/26/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,CREZENDE,RN107290025,1579838, 08/21/2019, 06/03/2019, 06/28/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,JWHITEHE,RN106093883,1582809, 08/21/2019, 06/13/2019, 07/16/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,JWHITEHE,RN106339724,1582812, 08/21/2019, 06/04/2019, 07/17/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,WLINDER,RN106070402,1578109, 08/21/2019, 06/04/2019, 07/12/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,WLINDER,RN106075872,1578324, 08/21/2019, 06/13/2019, 06/27/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,PCHEN,RN103886222,1570217, 08/20/2019, 06/03/2019, 06/21/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 08,R08SANG,GDANNHEI,RN107023475,1580041, 08/20/2019, 07/16/2019, 07/16/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,NFOSTER,RN100221589,1533209, 08/20/2019, 06/18/2019, 08/02/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,TRMARTIN,RN107305120,1582437, 08/19/2019, 06/03/2019, 06/17/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 14,R14CORP,AUTAYLOR,RN100224724,1538458, 08/19/2019, 05/31/2018, 12/05/2018,OGIC,OGIC#GAS FindIR,EMERGENCY RESPONSE INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING,A TCEQ REGION 14 OGIC WAS USED.
REGION 14,R14CORP,JOPEARCE,RN100213487,1557528, 08/16/2019, 06/20/2019, 06/20/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R14CORP,AFUQUA,RN105467039,1579985, 08/15/2019, 07/16/2019, 07/16/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,"The TCEQ R14 OGIC was utilized during the on-site investigaiton on July 16, 2019."
REGION 04,R04DFW,MHORTON,RN100238716,1581006, 08/15/2019, 06/25/2019, 06/25/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 04,R04DFW,MHORTON,RN106045305,1589701, 08/15/2019, 08/09/2019, 08/09/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 13,R13SANT,BWILLE,RN106502859,1575103, 08/15/2019, 06/05/2019, 06/14/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,BWILLE,RN106856420,1575105, 08/15/2019, 06/05/2019, 06/14/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,CREZENDE,RN109137166,1579653, 08/15/2019, 06/03/2019, 06/28/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,SALOPEZ,RN106753031,1579478, 08/15/2019, 06/06/2019, 06/20/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 14,R14CORP,GLOPEZ,RN109281147,1583024, 08/15/2019, 08/05/2019, 08/05/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,TLESTARJ,RN100209931,1540548, 08/14/2019, 07/10/2019, 07/11/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 14,R14CORP,KHALEPES,RN102555166,1575453, 08/14/2019, 06/26/2019, 06/26/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R13SANT,JSEILER,RN108051129,1575228, 08/13/2019, 06/06/2019, 06/18/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R13SANT,JSEILER,RN109965855,1575915, 08/13/2019, 06/11/2019, 06/18/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,JMALIK,RN100542216,1578466, 08/13/2019, 06/28/2019, 06/28/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 13,R13SANT,MBERTETT,RN106605371,1579638, 08/13/2019, 06/11/2019, 06/24/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,GF 320
REGION 13,R13SANT,SALOPEZ,RN106947062,1580423, 08/13/2019, 06/06/2019, 06/20/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,SALOPEZ,RN107917197,1579879, 08/13/2019, 06/06/2019, 06/20/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,TRMARTIN,RN109061358,1582415, 08/13/2019, 06/03/2019, 06/17/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,WLINDER,RN104048772,1579872, 08/13/2019, 06/13/2019, 06/20/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,WLINDER,RN106668098,1576859, 08/13/2019, 06/13/2019, 06/20/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 11,R11AUST,CKEFFER,RN100225754,1582566, 08/12/2019, 07/11/2019, 07/11/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 07,R07MIDL,BMCINTOS,RN110607835,1580896, 08/09/2019, 03/27/2019, 03/27/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,Flir GF 320
CO,R13SANT,JSEILER,RN106755259,1571656, 08/07/2019, 06/06/2019, 06/18/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 01,R01AMA,MCRIST,RN100217462,1582485, 08/07/2019, 07/09/2019, 07/10/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,ACHATTIN,RN100213420,1581478, 08/05/2019, 06/28/2019, 06/28/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MHORTON,RN102885662,1571005, 08/02/2019, 05/24/2019, 05/24/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
REGION 04,R04DFW,PCHEN,RN107889693,1571150, 08/02/2019, 06/03/2019, 06/07/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,
CO,R13SANT,JSEILER,RN106741754,1575890, 07/31/2019, 06/06/2019, 06/18/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,RLOOSMOR,RN100652312,1496912, 07/31/2019, 05/10/2018, 09/21/2018,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,MBERTETT,RN106418379,1578036, 07/31/2019, 06/27/2019, 06/27/2019,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 07,R07MIDL,BMCINTOS,RN109944652,1580119, 07/29/2019, 02/22/2019, 02/22/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,FLIR GF 320
REGION 07,R07MIDL,BMCINTOS,RN110770617,1580459, 07/29/2019, 03/27/2019, 03/27/2019,OGIC,OGIC#Optical Gas Imaging Camera (OGIC),EQUIPMENT MONITORING AND SAMPLING - REVISED 3/2015,FLIR GF 320
